Bundling 6%
Bundling 20%
Bundling 64%
Bundling 69%
Bundling 74%
Bundling 80%
Bundling 85%
Bundling 90%
Bundling 95%
Bundling 100%
Copying public dir 11.1 MB
Copying public dir 23.8 MB
Copying public dir 34.6 MB
Copying public dir 38.3 MB
Copying public dir 44.6 MB
Copying public dir 58 MB
Copying public dir 65.9 MB
Getting composition
Rendered 0/13675
Rendered 335/13675, time remaining: 2m 32s
Rendered 336/13675, time remaining: 2m 32s
Rendered 337/13675, time remaining: 2m 34s
Rendered 338/13675, time remaining: 2m 32s
Rendered 339/13675, time remaining: 2m 32s
Rendered 340/13675, time remaining: 2m 32s
Rendered 341/13675, time remaining: 2m 33s
Rendered 342/13675, time remaining: 2m 32s
Rendered 343/13675, time remaining: 2m 32s
Rendered 344/13675, time remaining: 2m 32s
Rendered 345/13675, time remaining: 2m 34s
Rendered 346/13675, time remaining: 2m 32s
Rendered 347/13675, time remaining: 2m 32s
Rendered 348/13675, time remaining: 2m 32s
Rendered 349/13675, time remaining: 2m 34s
Rendered 350/13675, time remaining: 2m 31s
Rendered 351/13675, time remaining: 2m 31s
Rendered 352/13675, time remaining: 2m 31s
Rendered 353/13675, time remaining: 2m 33s
Rendered 354/13675, time remaining: 2m 31s
Rendered 355/13675, time remaining: 2m 31s
Rendered 356/13675, time remaining: 2m 31s
Rendered 357/13675, time remaining: 2m 33s
Rendered 358/13675, time remaining: 2m 31s
Rendered 359/13675, time remaining: 2m 31s
Rendered 360/13675, time remaining: 2m 31s
Rendered 361/13675, time remaining: 2m 34s
Rendered 362/13675, time remaining: 2m 32s
Rendered 363/13675, time remaining: 2m 32s
Rendered 364/13675, time remaining: 2m 32s
Rendered 365/13675, time remaining: 2m 34s
Rendered 366/13675, time remaining: 2m 31s
Rendered 367/13675, time remaining: 2m 32s
Rendered 368/13675, time remaining: 2m 32s
Rendered 369/13675, time remaining: 2m 33s
Rendered 370/13675, time remaining: 2m 31s
Rendered 371/13675, time remaining: 2m 31s
Rendered 372/13675, time remaining: 2m 31s
Rendered 373/13675, time remaining: 2m 33s
Rendered 374/13675, time remaining: 2m 32s
Rendered 375/13675, time remaining: 2m 31s
Rendered 376/13675, time remaining: 2m 32s
Rendered 377/13675, time remaining: 2m 33s
Rendered 378/13675, time remaining: 2m 33s
Rendered 379/13675, time remaining: 2m 32s
Rendered 380/13675, time remaining: 2m 32s
Rendered 381/13675, time remaining: 2m 33s
Rendered 382/13675, time remaining: 2m 33s
Rendered 383/13675, time remaining: 2m 32s
Rendered 384/13675, time remaining: 2m 32s
Rendered 385/13675, time remaining: 2m 33s
Rendered 386/13675, time remaining: 2m 33s
Rendered 387/13675, time remaining: 2m 32s
Rendered 388/13675, time remaining: 2m 32s
Rendered 389/13675, time remaining: 2m 33s
Rendered 390/13675, time remaining: 2m 33s
Rendered 391/13675, time remaining: 2m 32s
Rendered 392/13675, time remaining: 2m 32s
Rendered 393/13675, time remaining: 2m 33s
Rendered 394/13675, time remaining: 2m 33s
Rendered 395/13675, time remaining: 2m 32s
Rendered 396/13675, time remaining: 2m 32s
Rendered 397/13675, time remaining: 2m 33s
Rendered 398/13675, time remaining: 2m 33s
Rendered 399/13675, time remaining: 2m 31s
Rendered 400/13675, time remaining: 2m 32s
Rendered 401/13675, time remaining: 2m 33s
Rendered 402/13675, time remaining: 2m 33s
Rendered 403/13675, time remaining: 2m 31s
Rendered 404/13675, time remaining: 2m 31s
Rendered 405/13675, time remaining: 2m 33s
Rendered 406/13675, time remaining: 2m 34s
Rendered 407/13675, time remaining: 2m 31s
Rendered 408/13675, time remaining: 2m 31s
Rendered 409/13675, time remaining: 2m 33s
Rendered 410/13675, time remaining: 2m 33s
Rendered 411/13675, time remaining: 2m 31s
Rendered 412/13675, time remaining: 2m 31s
Rendered 413/13675, time remaining: 2m 33s
Rendered 414/13675, time remaining: 2m 33s
Rendered 415/13675, time remaining: 2m 31s
