Bundling 6%
Bundling 23%
Bundling 64%
Bundling 69%
Bundling 74%
Bundling 80%
Bundling 85%
Bundling 90%
Bundling 95%
Bundling 100%
Copying public dir 11.1 MB
Copying public dir 23.8 MB
Copying public dir 34.6 MB
Copying public dir 38.3 MB
Copying public dir 47.2 MB
Copying public dir 58 MB
Copying public dir 65.9 MB
Getting composition
Rendered 379/13549, time remaining: 2m 32s
Rendered 380/13549, time remaining: 2m 34s
Rendered 381/13549, time remaining: 2m 34s
Rendered 382/13549, time remaining: 2m 32s
Rendered 383/13549, time remaining: 2m 32s
Rendered 384/13549, time remaining: 2m 34s
Rendered 385/13549, time remaining: 2m 34s
Rendered 386/13549, time remaining: 2m 32s
Rendered 387/13549, time remaining: 2m 32s
Rendered 388/13549, time remaining: 2m 34s
Rendered 389/13549, time remaining: 2m 34s
Rendered 390/13549, time remaining: 2m 32s
Rendered 391/13549, time remaining: 2m 32s
Rendered 392/13549, time remaining: 2m 33s
Rendered 393/13549, time remaining: 2m 34s
Rendered 394/13549, time remaining: 2m 31s
Rendered 395/13549, time remaining: 2m 31s
Rendered 396/13549, time remaining: 2m 33s
Rendered 397/13549, time remaining: 2m 33s
Rendered 398/13549, time remaining: 2m 31s
Rendered 399/13549, time remaining: 2m 31s
Rendered 400/13549, time remaining: 2m 33s
Rendered 401/13549, time remaining: 2m 34s
Rendered 402/13549, time remaining: 2m 32s
Rendered 403/13549, time remaining: 2m 32s
Rendered 404/13549, time remaining: 2m 34s
Rendered 405/13549, time remaining: 2m 34s
Rendered 406/13549, time remaining: 2m 32s
Rendered 407/13549, time remaining: 2m 32s
Rendered 408/13549, time remaining: 2m 34s
Rendered 409/13549, time remaining: 2m 34s
Rendered 410/13549, time remaining: 2m 33s
Rendered 411/13549, time remaining: 2m 33s
Rendered 412/13549, time remaining: 2m 35s
Rendered 413/13549, time remaining: 2m 35s
Rendered 414/13549, time remaining: 2m 33s
Rendered 415/13549, time remaining: 2m 33s
Rendered 416/13549, time remaining: 2m 35s
Rendered 417/13549, time remaining: 2m 35s
Rendered 418/13549, time remaining: 2m 33s
Rendered 419/13549, time remaining: 2m 33s
Rendered 420/13549, time remaining: 2m 34s
Rendered 421/13549, time remaining: 2m 34s
Rendered 422/13549, time remaining: 2m 32s
Rendered 423/13549, time remaining: 2m 32s
Rendered 424/13549, time remaining: 2m 34s
Rendered 425/13549, time remaining: 2m 33s
Rendered 426/13549, time remaining: 2m 32s
Rendered 427/13549, time remaining: 2m 31s
Rendered 428/13549, time remaining: 2m 33s
Rendered 429/13549, time remaining: 2m 33s
Rendered 430/13549, time remaining: 2m 31s
Rendered 431/13549, time remaining: 2m 31s
Rendered 432/13549, time remaining: 2m 33s
Rendered 433/13549, time remaining: 2m 33s
Rendered 434/13549, time remaining: 2m 31s
Rendered 435/13549, time remaining: 2m 31s
Rendered 436/13549, time remaining: 2m 32s
Rendered 437/13549, time remaining: 2m 32s
Rendered 438/13549, time remaining: 2m 31s
Rendered 439/13549, time remaining: 2m 31s
Rendered 440/13549, time remaining: 2m 31s
Rendered 441/13549, time remaining: 2m 31s
Rendered 442/13549, time remaining: 2m 30s
Rendered 443/13549, time remaining: 2m 30s
Rendered 444/13549, time remaining: 2m 30s
Rendered 445/13549, time remaining: 2m 31s
Rendered 446/13549, time remaining: 2m 29s
Rendered 447/13549, time remaining: 2m 30s
Rendered 448/13549, time remaining: 2m 30s
Rendered 449/13549, time remaining: 2m 30s
Rendered 450/13549, time remaining: 2m 30s
Rendered 451/13549, time remaining: 2m 29s
Rendered 452/13549, time remaining: 2m 30s
Rendered 453/13549, time remaining: 2m 30s
Rendered 454/13549, time remaining: 2m 30s
Rendered 455/13549, time remaining: 2m 30s
Rendered 456/13549, time remaining: 2m 30s
